Chapter,Percentage
Electrostatics,18.33
Electric Current,9.17
Magnetism,5.00
Electromagnetic Induction,2.50
Rotational Motion,7.50
Kinematics,7.50
Fluids,3.33
Simple Harmonic Motion,2.50
Gravitation,2.50
Geometrical Optics,13.33
Wave Optics,3.33
Nucleus,8.33
Photoelectric Effect,2.50
Thermodynamics,6.67
Kinematic Theory of Gases,2.50
Units & Dimensions,2.50
Error Analysis,2.50
